iter	Logloss
0	0.6769147057
1	0.6627410164
2	0.650327111
3	0.6366313607
4	0.6247365722
5	0.6128305321
6	0.6017559197
7	0.5907833532
8	0.5807869621
9	0.5719104421
10	0.5624314535
11	0.5529595452
12	0.5441269434
13	0.5365646145
14	0.5286635195
15	0.5212976219
16	0.5141419456
17	0.5073899241
18	0.5016501705
19	0.4963859169
20	0.4913517944
21	0.4856593876
22	0.4804051442
23	0.4755476392
24	0.4708508391
25	0.4664198215
26	0.4620102503
27	0.4584400077
28	0.4546657654
29	0.4502738255
30	0.4467226613
31	0.4432835996
32	0.4403770985
33	0.4374727843
34	0.4347606057
35	0.4319712291
36	0.4288067623
37	0.426296722
38	0.4237327507
39	0.421548682
40	0.4190990626
41	0.4175947473
42	0.4151575248
43	0.413368255
44	0.411904549
45	0.4100733779
46	0.4081874669
47	0.4065811936
48	0.4046964473
49	0.4036039464
50	0.4020849668
51	0.4005870828
52	0.3991150883
53	0.397883466
54	0.3967156711
55	0.3953043125
56	0.3941177964
57	0.393061661
58	0.3918878382
59	0.3913994141
60	0.3905678271
61	0.3897137067
62	0.3884839806
63	0.3879404852
64	0.387134685
65	0.3864089532
66	0.3854390758
67	0.3846330988
68	0.3837339439
69	0.3828455767
70	0.3822258773
71	0.3813753023
72	0.3808023007
73	0.380188341
74	0.3798482749
75	0.3790768237
76	0.3784784049
77	0.3778615307
78	0.3773026443
79	0.3766816029
80	0.3760475901
81	0.3754903811
82	0.374919892
83	0.3746077822
84	0.3739646086
85	0.3735264884
86	0.3731709882
87	0.3725086684
88	0.3719626778
89	0.3715851862
90	0.3709794908
91	0.3706106952
92	0.3701787466
93	0.3696317896
94	0.3688935298
95	0.3685076061
96	0.3681934705
97	0.3677541295
98	0.3670996992
99	0.3666633574
100	0.3661496001
101	0.3658132875
102	0.3653697913
103	0.3649937279
104	0.3644902828
105	0.3641276159
106	0.3638294794
107	0.363324368
108	0.3629078945
109	0.3626224922
110	0.3622747182
111	0.3618884537
112	0.3615208232
113	0.3612047323
114	0.3608996617
115	0.3605849616
116	0.3601731773
117	0.3598534229
118	0.3593833943
119	0.3590114609
120	0.3588147697
121	0.3586420002
122	0.3582170932
123	0.357884917
124	0.3576103519
125	0.3573311996
126	0.3570866861
127	0.3568067
128	0.3565001076
129	0.3562385493
130	0.3560165084
131	0.355821715
132	0.355517192
133	0.3551970358
134	0.3548640883
135	0.3545087109
136	0.3542867196
137	0.3541311323
138	0.3539400831
139	0.3538131991
140	0.353546683
141	0.353352678
142	0.353046387
143	0.3529075575
144	0.3526626301
145	0.3524267527
146	0.3521420434
147	0.3518230878
148	0.3515458304
149	0.3512853853
150	0.3509755528
151	0.350812344
152	0.3505787566
153	0.3504122393
154	0.3501715001
155	0.3500394037
156	0.3498069673
157	0.3495773476
158	0.3492704234
159	0.3489324134
160	0.3487544201
161	0.3485597316
162	0.3483120319
163	0.3481121305
164	0.3478565738
165	0.3474778916
166	0.3471938222
167	0.3468990872
168	0.3467606508
